id,count
0,108.0
1,229.0
2,49.0
4,18.0
5,92.0
10,149.0
11,109.0
12,264.0
15,49.0
17,134.0
18,278.0
23,278.0
25,189.0
26,41.0
31,221.0
39,92.0
40,30.0
41,15.0
42,316.0
43,229.0
51,304.0
52,46.0
54,15.0
60,118.0
61,118.0
62,104.0
63,30.0
65,311.0
66,129.0
68,118.0
71,98.0
80,30.0
82,94.0
94,118.0
98,117.0
101,109.0
102,92.0
107,15.0
112,286.0
113,3.0
115,17.0
116,133.0
120,224.0
121,55.0
122,254.0
132,221.0
143,37.0
147,94.0
150,30.0
151,80.0
152,247.0
153,94.0
155,191.0
156,52.0
159,138.0
161,189.0
163,51.0
177,229.0
186,16.0
188,16.0
190,108.0
191,81.0
192,127.0
195,247.0
200,221.0
209,254.0
210,9.0
211,305.0
214,102.0
215,30.0
218,115.0
219,36.0
222,38.0
225,16.0
228,317.0
236,106.0
241,34.0
242,143.0
243,317.0
245,22.0
247,369.0
251,227.0
252,103.0
253,17.0
254,74.0
258,278.0
260,94.0
261,118.0
265,128.0
266,221.0
267,127.0
269,138.0
270,94.0
275,119.0
278,50.0
279,71.0
286,117.0
287,35.0
288,188.0
289,214.0
293,35.0
294,304.0
297,17.0
302,95.0
303,117.0
304,92.0
307,95.0
309,13.0
311,227.0
312,134.0
314,296.0
315,317.0
319,224.0
322,133.0
323,94.0
325,108.0
327,221.0
330,39.0
332,227.0
333,35.0
338,118.0
341,74.0
345,15.0
348,102.0
349,40.0
350,129.0
352,94.0
355,18.0
356,229.0
358,94.0
363,92.0
369,229.0
371,18.0
372,229.0
375,221.0
380,133.0
388,40.0
391,229.0
392,124.0
393,200.0
394,215.0
396,22.0
401,31.0
407,128.0
409,137.0
410,129.0
416,109.0
418,107.0
420,133.0
421,118.0
422,133.0
424,278.0
428,277.0
429,127.0
431,102.0
435,23.0
439,133.0
441,18.0
447,71.0
449,118.0
451,102.0
452,13.0
454,140.0
458,151.0
463,118.0
467,18.0
470,15.0
471,146.0
474,227.0
478,27.0
483,87.0
484,119.0
485,98.0
486,125.0
491,95.0
494,74.0
495,186.0
497,142.0
499,291.0
515,110.0
518,249.0
521,267.0
525,104.0
529,254.0
532,92.0
534,128.0
540,94.0
544,278.0
547,138.0
549,43.0
563,36.0
564,102.0
567,87.0
572,95.0
577,189.0
578,317.0
585,277.0
588,102.0
589,189.0
590,137.0
592,17.0
594,27.0
596,16.0
598,127.0
599,142.0
605,103.0
606,104.0
607,140.0
608,219.0
609,94.0
610,252.0
611,212.0
614,151.0
615,339.0
616,229.0
617,226.0
618,200.0
624,87.0
629,180.0
631,128.0
633,117.0
637,16.0
638,87.0
643,94.0
644,256.0
645,41.0
646,232.0
648,183.0
650,103.0
651,56.0
652,244.0
656,102.0
657,20.0
659,82.0
660,305.0
662,95.0
665,227.0
675,151.0
681,120.0
682,205.0
685,35.0
686,284.0
689,12.0
696,97.0
703,219.0
