id,count
0,89.71
1,228.43
2,73.01
4,30.61
5,75.71
10,123.43
11,191.74
12,323.66
15,38.41
17,122.8
18,300.55
23,255.72
25,107.09
26,37.07
31,201.83
39,175.82
40,27.83
41,174.73
42,359.86
43,166.08
51,225.55
52,80.37
54,16.78
60,149.66
61,147.69
62,114.49
63,28.86
65,120.77
66,111.43
68,164.62
71,80.3
80,31.57
82,70.84
94,135.61
98,286.09
101,34.53
102,133.68
107,95.98
112,242.94
113,75.43
115,65.31
116,120.73
120,166.76
121,73.33
122,335.32
132,185.73
143,91.63
147,72.79
150,17.56
151,88.02
152,228.19
153,90.93
155,176.42
156,80.44
159,189.5
161,134.89
163,44.53
177,178.72
186,14.35
188,19.23
190,82.47
191,83.81
192,257.43
195,306.37
200,139.91
209,314.72
210,16.3
211,240.95
214,120.74
215,27.02
218,101.02
219,32.34
222,132.68
225,15.79
228,316.41
236,228.21
241,36.5
242,174.85
243,230.11
245,17.97
247,243.31
251,133.75
252,86.92
253,83.93
254,91.62
258,318.76
260,63.59
261,177.83
265,117.73
266,273.98
267,294.93
269,157.56
270,73.31
275,98.15
278,35.71
279,83.65
286,92.61
287,29.15
288,220.33
289,138.76
293,19.62
294,154.59
297,44.31
302,122.53
303,58.54
304,78.08
307,100.11
309,16.54
311,161.85
312,122.66
314,173.16
315,246.46
319,170.6
322,119.38
323,76.4
325,124.8
327,238.86
330,33.58
332,202.46
333,19.19
338,100.17
341,109.14
345,186.55
348,123.73
349,44.56
350,119.26
352,68.19
355,14.48
356,231.03
358,68.14
363,131.32
369,174.89
371,17.59
372,149.63
375,302.34
380,133.11
388,43.94
391,138.94
392,260.8
393,370.36
394,206.02
396,27.57
401,37.05
407,114.34
409,87.3
410,115.06
416,110.6
418,121.58
420,153.36
421,232.29
422,127.87
424,295.34
428,331.33
429,222.63
431,145.3
435,10.82
439,111.81
441,11.35
447,96.86
449,150.79
451,138.55
452,16.38
454,213.99
458,225.92
463,127.07
467,14.36
470,218.42
471,160.34
474,281.95
478,15.87
483,121.16
484,137.71
485,88.07
486,129.38
491,98.56
494,102.31
495,243.05
497,204.84
499,162.54
515,113.19
518,214.13
521,167.35
525,167.99
529,235.01
532,155.78
534,113.44
540,116.46
544,298.95
547,172.5
549,43.31
563,32.89
564,144.64
567,124.69
572,115.16
577,133.6
578,275.49
585,346.41
588,145.76
589,126.08
590,106.76
592,17.04
594,194.91
596,14.83
598,334.43
599,143.47
605,34.67
606,133.45
607,259.96
608,228.91
609,72.18
610,284.29
611,173.81
614,132.59
615,215.4
616,256.14
617,125.15
618,245.22
624,116.93
629,138.34
631,93.37
633,89.19
637,24.28
638,104.31
643,70.91
644,128.03
645,34.58
646,213.29
648,205.58
650,36.98
651,204.82
652,260.73
656,105.6
657,18.26
659,75.77
660,218.96
662,100.46
665,373.64
675,310.32
681,164.55
682,201.68
685,20.45
686,214.99
689,25.09
696,139.89
703,145.4
704,95.75
705,109.14
714,242.26
717,97.99
718,14.66
